Epoch: 337/500, Duration: 1.247s, ACC: 0.8082, Train Loss: 0.7801, Test Loss:0.7623
Epoch: 338/500, Duration: 1.231s, ACC: 0.8064, Train Loss: 0.7831, Test Loss:0.7721
Epoch: 339/500, Duration: 1.229s, ACC: 0.8093, Train Loss: 0.7827, Test Loss:0.7560
Epoch: 340/500, Duration: 1.230s, ACC: 0.8095, Train Loss: 0.7797, Test Loss:0.7540
Epoch: 341/500, Duration: 1.259s, ACC: 0.8068, Train Loss: 0.7781, Test Loss:0.7671
Epoch: 342/500, Duration: 1.259s, ACC: 0.8087, Train Loss: 0.7791, Test Loss:0.7569
Epoch: 343/500, Duration: 1.267s, ACC: 0.8101, Train Loss: 0.7784, Test Loss:0.7514
Epoch: 344/500, Duration: 1.252s, ACC: 0.8079, Train Loss: 0.7784, Test Loss:0.7641
Epoch: 345/500, Duration: 1.226s, ACC: 0.8084, Train Loss: 0.7783, Test Loss:0.7623
Epoch: 346/500, Duration: 1.229s, ACC: 0.8096, Train Loss: 0.7786, Test Loss:0.7552
Epoch: 347/500, Duration: 1.228s, ACC: 0.8098, Train Loss: 0.7752, Test Loss:0.7532
Epoch: 348/500, Duration: 1.239s, ACC: 0.8095, Train Loss: 0.7740, Test Loss:0.7568
Epoch: 349/500, Duration: 1.260s, ACC: 0.8100, Train Loss: 0.7734, Test Loss:0.7541
Epoch: 350/500, Duration: 1.260s, ACC: 0.8110, Train Loss: 0.7709, Test Loss:0.7458
Epoch: 351/500, Duration: 1.254s, ACC: 0.8107, Train Loss: 0.7736, Test Loss:0.7495
Epoch: 352/500, Duration: 1.234s, ACC: 0.8117, Train Loss: 0.7706, Test Loss:0.7441
Epoch: 353/500, Duration: 1.228s, ACC: 0.8106, Train Loss: 0.7725, Test Loss:0.7507
Epoch: 354/500, Duration: 1.226s, ACC: 0.8114, Train Loss: 0.7726, Test Loss:0.7448
Epoch: 355/500, Duration: 1.231s, ACC: 0.8114, Train Loss: 0.7653, Test Loss:0.7459
Epoch: 356/500, Duration: 1.260s, ACC: 0.8095, Train Loss: 0.7689, Test Loss:0.7564
Epoch: 357/500, Duration: 1.261s, ACC: 0.8106, Train Loss: 0.7675, Test Loss:0.7523
Epoch: 358/500, Duration: 1.272s, ACC: 0.8124, Train Loss: 0.7690, Test Loss:0.7416
Epoch: 359/500, Duration: 1.251s, ACC: 0.8115, Train Loss: 0.7662, Test Loss:0.7459
Epoch: 360/500, Duration: 1.235s, ACC: 0.8107, Train Loss: 0.7680, Test Loss:0.7493
Epoch: 361/500, Duration: 1.236s, ACC: 0.8099, Train Loss: 0.7670, Test Loss:0.7536
Epoch: 362/500, Duration: 1.233s, ACC: 0.8108, Train Loss: 0.7633, Test Loss:0.7489
Epoch: 363/500, Duration: 1.255s, ACC: 0.8106, Train Loss: 0.7653, Test Loss:0.7469
